t,robot_id,target_future_conflict,state_AVAILABLE,state_IN_PROGRESS,is_carrying,x_norm,y_norm,local_density_3_smooth,local_density_5_smooth,density_3_zscore,density_3_peak,density_3_accel,density_5_zscore,density_5_peak,density_5_accel,steps_stationary,stationary_ratio,neighbour_static_count,density_3_delta,density_5_delta,density_spread,density_3_lag_1,density_5_lag_1,density_3_lag_2,density_5_lag_2,density_3_lag_3,density_5_lag_3
27,0,0.0,0,1,1,0.045454545454545456,0.0,0.2,0.6,-0.36548799526311365,1.0,-1.0,-0.9263225327693092,1.0,0.0,26,1.0,36,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,0,0.0,0,1,1,0.045454545454545456,0.0,0.0,0.6,0.0,0.0,-1.0,0.6175483551795395,1.0,1.0,27,1.0,34,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0,0.0,0,1,1,0.045454545454545456,0.0,0.0,0.6,0.0,0.0,1.0,0.6175483551795395,1.0,0.0,28,1.0,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
30,0,0.0,0,1,1,0.045454545454545456,0.0,0.2,0.6,1.4619519810524546,1.0,2.0,0.6175483551795395,1.0,0.0,29,1.0,35,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
31,0,0.0,0,1,1,0.045454545454545456,0.0,0.4,0.8,0.9263225327693092,1.0,2.0,0.36548799526311354,1.0,2.0,30,1.0,36,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
32,0,0.0,0,1,1,0.045454545454545456,0.0,0.6,1.0,0.6175483551795395,1.0,2.0,0.0,1.0,2.0,31,1.0,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
33,0,0.0,0,1,1,0.045454545454545456,0.0,0.8,1.2,0.36548799526311354,1.0,2.0,1.4619519810524546,2.0,1.0,32,1.0,39,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0,0.0,0,1,1,0.045454545454545456,0.0,1.0,1.4,0.0,1.0,1.0,0.9263225327693093,2.0,1.0,33,1.0,39,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
35,0,0.0,0,1,1,0.045454545454545456,0.0,1.2,1.8,1.4619519810524546,2.0,0.0,1.2811478722331748,3.0,2.0,34,1.0,38,1.0,2.0,1.5,1.0,2.0,1.0,2.0,1.0,1.0
36,0,0.0,0,1,1,0.045454545454545456,0.0,1.4,2.2,0.9263225327693093,2.0,0.0,0.854098581488783,3.0,1.0,35,1.0,38,1.0,2.0,1.5,2.0,3.0,1.0,2.0,1.0,2.0
37,0,0.0,0,1,1,0.045454545454545456,0.0,1.8,2.6,1.2811478722331748,3.0,1.0,0.6175483551795395,3.0,1.0,36,1.0,39,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0
38,0,0.0,0,1,1,0.045454545454545456,0.0,2.2,2.8,0.854098581488783,3.0,1.0,0.365487995263114,3.0,0.0,37,1.0,38,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0
39,0,0.0,0,1,1,0.045454545454545456,0.0,2.6,3.0,0.6175483551795395,3.0,1.0,0.0,3.0,0.0,38,1.0,38,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0
40,0,0.0,0,1,1,0.045454545454545456,0.0,2.8,3.0,0.365487995263114,3.0,0.0,0.0,3.0,-2.0,39,1.0,40,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
41,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,-2.0,40,1.0,41,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
42,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,3.0,-2.0,41,1.0,41,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
43,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,3.0,-1.0,42,1.0,41,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
44,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,3.0,-1.0,43,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
45,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,-1.0,0.0,3.0,0.0,44,1.0,41,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
46,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,-1.0,0.0,3.0,0.0,45,1.0,41,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
47,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,46,1.0,41,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
48,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,47,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
49,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,48,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
50,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,49,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
51,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,50,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
52,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,51,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
53,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,52,1.0,42,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
54,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,53,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
55,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,54,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
56,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,55,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
57,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,56,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
58,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,57,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
59,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,58,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
60,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,59,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
61,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,60,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
62,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,61,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
63,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,62,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
64,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,63,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
65,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,64,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
66,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,65,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
67,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,66,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
68,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,67,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
69,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,68,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
70,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,69,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
71,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,70,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
72,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,71,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
73,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,72,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
74,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,73,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
75,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,74,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
76,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,75,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
77,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,76,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
