t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
2,36,16,22,AVAILABLE,0,0,6,10,0,0,0,0,0
2,37,17,22,AVAILABLE,0,0,6,10,0,0,0,0,0
2,38,18,22,AVAILABLE,0,0,6,10,0,0,0,0,0
2,39,19,22,AVAILABLE,0,0,6,9,0,0,0,0,0
2,40,20,22,AVAILABLE,0,0,6,8,0,0,0,0,0
2,41,21,22,AVAILABLE,0,0,5,7,0,0,0,0,0
2,42,22,22,AVAILABLE,0,0,4,6,0,0,0,0,0
2,43,23,22,AVAILABLE,0,0,3,5,0,0,0,0,0
3,0,2,1,AVAILABLE,0,0,3,5,0,0,0,0,0
3,1,3,1,AVAILABLE,0,0,4,6,0,0,0,0,0
3,2,4,1,AVAILABLE,0,0,5,7,0,0,0,0,0
3,3,5,1,AVAILABLE,0,0,6,8,0,0,0,0,0
3,4,6,1,AVAILABLE,0,0,6,9,0,0,0,0,0
3,5,7,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,6,8,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,7,9,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,8,10,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,9,11,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,10,12,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,11,13,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,12,14,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,13,15,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,14,16,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,15,17,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,16,18,1,AVAILABLE,0,0,6,10,0,0,0,0,0
3,17,19,1,AVAILABLE,0,0,6,9,0,0,0,0,0
3,18,20,1,AVAILABLE,0,0,6,8,0,0,0,0,0
3,19,21,1,AVAILABLE,0,0,5,7,0,0,0,0,0
3,20,22,1,AVAILABLE,0,0,4,6,0,0,0,0,0
3,21,23,1,AVAILABLE,0,0,3,5,0,0,0,0,0
3,22,2,22,AVAILABLE,0,0,3,5,0,0,0,0,0
3,23,3,22,AVAILABLE,0,0,4,6,0,0,0,0,0
3,24,4,22,AVAILABLE,0,0,5,7,0,0,0,0,0
3,25,5,22,AVAILABLE,0,0,6,8,0,0,0,0,0
3,26,6,22,AVAILABLE,0,0,6,9,0,0,0,0,0
3,27,7,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,28,8,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,29,9,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,30,10,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,31,11,22,AVAILABLE,0,0,6,10,0,0,0,0,0
